source_id,area
1710,Biology & Life Sciences
1287,Biology & Life Sciences
1111,Biology & Life Sciences
1457,Biology & Life Sciences
1464,Biology & Life Sciences
1117,Biology & Life Sciences
1296,Biology & Life Sciences
1301,Biology & Life Sciences
1131,Biology & Life Sciences
1302,Biology & Life Sciences
1304,Biology & Life Sciences
1473,Biology & Life Sciences
1476,Biology & Life Sciences
1134,Biology & Life Sciences
1307,Biology & Life Sciences
1135,Biology & Life Sciences
1139,Biology & Life Sciences
1308,Biology & Life Sciences
1480,Biology & Life Sciences
1481,Biology & Life Sciences
1482,Biology & Life Sciences
1724,Biology & Life Sciences
1146,Biology & Life Sciences
1313,Biology & Life Sciences
1150,Biology & Life Sciences
1152,Biology & Life Sciences
1154,Biology & Life Sciences
1315,Biology & Life Sciences
1157,Biology & Life Sciences
1497,Biology & Life Sciences
1319,Biology & Life Sciences
1162,Biology & Life Sciences
1502,Biology & Life Sciences
1503,Biology & Life Sciences
1164,Biology & Life Sciences
1680,Biology & Life Sciences
1727,Biology & Life Sciences
1330,Biology & Life Sciences
1681,Biology & Life Sciences
1168,Biology & Life Sciences
1332,Biology & Life Sciences
1171,Biology & Life Sciences
1512,Biology & Life Sciences
1516,Biology & Life Sciences
1350,Biology & Life Sciences
1686,Biology & Life Sciences
1341,Biology & Life Sciences
1205,Biology & Life Sciences
1693,Biology & Life Sciences
1694,Biology & Life Sciences
1696,Biology & Life Sciences
1348,Biology & Life Sciences
1734,Biology & Life Sciences
1349,Biology & Life Sciences
1699,Biology & Life Sciences
1537,"Chemistry, Mathematics & Physics"
1002,"Chemistry, Mathematics & Physics"
1216,"Chemistry, Mathematics & Physics"
1568,"Chemistry, Mathematics & Physics"
1700,"Chemistry, Mathematics & Physics"
1029,"Chemistry, Mathematics & Physics"
1579,"Chemistry, Mathematics & Physics"
1541,"Chemistry, Mathematics & Physics"
1039,"Chemistry, Mathematics & Physics"
1592,"Chemistry, Mathematics & Physics"
1240,"Chemistry, Mathematics & Physics"
1736,"Chemistry, Mathematics & Physics"
1247,"Chemistry, Mathematics & Physics"
1391,"Chemistry, Mathematics & Physics"
1600,"Chemistry, Mathematics & Physics"
1253,"Chemistry, Mathematics & Physics"
1069,"Chemistry, Mathematics & Physics"
1260,"Chemistry, Mathematics & Physics"
1405,"Chemistry, Mathematics & Physics"
1408,"Chemistry, Mathematics & Physics"
1547,"Chemistry, Mathematics & Physics"
1087,"Chemistry, Mathematics & Physics"
1411,"Chemistry, Mathematics & Physics"
1093,"Chemistry, Mathematics & Physics"
1626,"Chemistry, Mathematics & Physics"
1270,"Chemistry, Mathematics & Physics"
1628,"Chemistry, Mathematics & Physics"
1277,"Chemistry, Mathematics & Physics"
1634,"Chemistry, Mathematics & Physics"
1432,"Chemistry, Mathematics & Physics"
1644,"Chemistry, Mathematics & Physics"
1461,"Chemistry, Mathematics & Physics"
1471,"Chemistry, Mathematics & Physics"
1304,"Chemistry, Mathematics & Physics"
1719,"Chemistry, Mathematics & Physics"
1476,"Chemistry, Mathematics & Physics"
1134,"Chemistry, Mathematics & Physics"
1664,"Chemistry, Mathematics & Physics"
