"id","work_id"
8222,2010351037
8223,1968620707
8224,1979199430
8232,2046631848
8194,2095324501
8195,1481192871
8233,1991072512
8234,2001585727
45935,1990891478
45936,1968280461
45937,2014981667
45941,2022251214
45945,2035020284
45947,1971205337
45950,1964547062
44691,2080269102
44693,2052006354
44694,2118744718
44690,1995826691
44695,2055888284
44688,2008087095
44689,2029961159
44692,2072834353
50225,2104458682
50229,1976877231
50228,2144871667
50224,2056622361
50215,2041864100
50218,2083679949
50213,2056347737
51951,2030804946
51948,2021405783
51956,2042532642
51955,1964030321
51947,2092059600
51953,1996875210
51952,2002152977
55908,2058895745
55909,2121084299
55910,2077785986
55911,1965673205
55913,2064882498
55914,1980836042
58382,2045100555
58383,2037828779
58386,2088844548
58389,1993406097
58390,2041920446
58392,1984163189
58396,1981594883
63618,2023271818
63619,2043758008
63620,1978135060
63621,2097148177
63622,2016084981
63623,2076205244
63625,2087429034
64459,2078488876
64460,2020582933
64463,2043622157
64461,1977476760
64465,2160893025
64466,2027357027
65763,2052186114
65764,2064056249
65766,2041523485
65767,2029748659
65768,2041733146
65769,2042650415
68179,2012106183
68181,2016256782
68178,2064413800
68183,1980566902
68182,2020346624
68180,2024004459
68184,2025096934
70723,2029981371
70724,2029888256
70725,2168940968
70726,1990948009
70741,2089042511
70742,2082141175
70743,2086847910
56168,1582774362
84102,2078632101
84107,2127721112
84093,1987652665
84091,2072123819
84090,2025298126
84092,2118538414
84089,2082572640
84095,2016319854
84097,2017352985
84094,2138120384
84189,2067061369
84191,2065841541
84106,2043683334
84098,2026130410
84096,2030246969
84099,2084104106
84103,2027732296
84109,2062297111
84105,1970037356
84184,2049513371
84116,1987562421
84118,1991571803
84187,2007755263
84104,2092402881
84108,1975356823
84112,2018921733
84115,2020837436
8160,1607082878
84114,2021413210
89327,2761929652
89395,2101657881
84119,2076633471
84113,2103914561
89328,2018426904
84185,2022928761
89329,2145684522
89325,2073223352
89326,1977571372
89334,2045184770
89346,2134539989
95974,2065462464
95973,2068330248
89401,2102645770
89402,2064954094
95964,2062319197
95978,2131053712
89341,2073384308
89404,2011459477
89397,2021894413
95975,2023487322
95967,2064125184
89394,2095480723
95963,2066508648
89400,1976237437
89403,1991417598
89345,1988814002
95966,2057777299
98478,2097648372
98507,1974475974
89342,2010193494
98484,2155549102
102732,1992394144
98487,1965928922
98502,2080771309
98509,2062710986
98476,2073102375
95969,1981803632
104871,2022298584
98506,2049222068
95961,2058602981
98505,2027480524
98503,2133825613
98508,1966106755
98483,2129703244
98510,2160737324
98504,2003059786
102725,2011356224
102730,2015910050
102717,2076946873
102722,2070176567
102718,2032413592
102723,2090415007
102726,1966540905
102721,2017623591
102729,2110585348
104873,2036391478
102724,1993359519
102728,1967176503
104865,2075313829
104867,2070547053
104854,2079319872
104862,2039263908
104851,2151429661
108710,1983936681
104857,2026522521
104852,1497557484
104874,2149276618
104864,2063935055
108707,2077122269
108716,2057461353
108760,2019711860
108763,2154381159
108758,2079181048
108719,2158214157
108722,2123889423
108721,2018514956
113421,2062370322
108709,2007677696
108712,2095510829
113420,1974020798
108714,2044379104
113371,2081806634
113367,2161088652
128427,2075981013
128440,2065743800
113373,2054985102
128449,1973141697
121014,2061790760
108718,2043371777
128444,1978554598
113368,2002198930
113370,2061402709
128450,2024671494
113369,2034042007
120969,1978772252
120987,1641713038
128429,2083925475
121026,275650094
121005,288451281
128432,1983498300
113375,2030605911
128436,2084980740
128441,2080119864
128050,2188104017
128438,1986634290
128435,1972944601
128433,2034372132
128434,2035225755
128439,2071928189
120978,2017840512
120968,2043295379
120981,1982804921
128044,2194885588
128445,2006925251
128442,2033302699
120971,2044505449
121030,1619886462
136870,2188035022
128428,2014531414
128447,2084953422
128430,2028019035
121001,2088471263
124929,802526759
128042,2174909023
124926,879949310
124956,1956645308
121025,1680676110
124933,932611138
121011,1649367118
120979,1571536402
120980,1609788318
120967,1660250015
136882,2304909088
124952,1924760058
124939,1165040429
124949,1172936431
124957,1142368862
136858,2276867077
136861,2297286039
124955,1138197566
144805,2500968710
128048,1884445104
128038,2187721631
127984,1952813812
136885,2274293787
144770,2482606490
136879,2344887310
124954,1919760780
128028,2192176604
128017,2191695781
127983,2196600351
136849,2193209121
136856,2188403830
128036,1903277061
127986,2173126431
127976,2231872918
136848,2192929158
144789,2405720166
150571,2549411224
127982,1957577010
128003,1897727275
144717,2511710790
