Database_ID,Title,Authors,Year,Journal,Country_Source,DOI,URL,Keywords,Volume,Issue,Database
191732,"Quality assessment of commercially produced sandcrete blocks in part of Akwa Ibom State, Nigeria",E.E. Ambrose; R.K. Etim; N.E. Koffi,2019,Nigerian Journal of Technology,Nigeria,10.4314/njt.v38i3.7,https://www.ajol.info/index.php/njt/article/view/191732,Compressive Strength; Sandcrete Blocks; Sieve Analysis,38.0,3,AJOL
192388,Caractérisation d’une latérite naturelle du Burkina Faso en vue de l’élimination de l’arsenic (III) et l’arsenic (V) dans les eaux souterraines,Régie Dimanche Ouedraogo; Corneille Bakouan; Brahima Sorgho; Boubié Guel; Lucien D. Bonou,2020,International Journal of Biological and Chemical Sciences,Cameroon,10.4314/ijbcs.v13i6.41,https://www.ajol.info/index.php/ijbcs/article/view/192388,laterite; characterization; adsorption; elimination; arsenic; Burkina Faso,13.0,6,AJOL
192453,Appraising the environmental friendliness of rice husk ash and oil palm shell as building materials from agricultural waste,Usman Aliyu Jalam,2020,ATBU Journal of Environmental Technology,Nigeria,,https://www.ajol.info/index.php/atbu/article/view/192453,Rice-Husk-Ash; Oil-Palm-Shell; Green Features; Agricultural Waste,12.0,1,AJOL
194585,A Quality Control Scheme for a Commercial Pozzolana Plant: A Case Study of Pozzolana Ghana Ltd,J. Sarfo-Ansah; K. A. Boakye; E. Atiemo; R. Appiah,2020,Ghana Journal of Science,Ghana,10.4314/gjs.v60i2.8,https://www.ajol.info/index.php/gjs/article/view/194585,Pozzolana cement; statistical process control; Shewhart chart; compressive strength; setting time,60.0,2,AJOL
195089,Internal Microclimate: Cumulative Exergy Consumption in a Sandcrete and a Burnt Brick- Walled Structure,A.A. Ibrahim; A.A. Adedeji,2020,Nigerian Journal of Technological Development,Nigeria,10.4314/njtd.v17i1.9,https://www.ajol.info/index.php/njtd/article/view/195089,Building; electricity; energy; eQuest; exergy; sandcrete,17.0,1,AJOL
197267,Use of Sisal Fiber and construction and demolition waste in concrete block production in Tanzania,S.M.M. Sabai,2020,Journal of Building and Land Development,Tanzania,,https://www.ajol.info/index.php/jbld/article/view/197267,SF; C&D waste; concrete blocks; recycling; quality,20.0,1-2,AJOL
197598,Comparison of strength of sandcrete blocks produce with fine aggregate from different sources,A. O. Alejo,2020,Nigerian Journal of Technology,Nigeria,10.4314/njt.v39i2.2,https://www.ajol.info/index.php/njt/article/view/197598,Sand; Sandcrete blocks; Compressive strength; Curing; Production practice,39.0,2,AJOL
197602,Towards green concrete: Response of oyster shell powder-cement concrete to splitting tensile load,O.A. Ubachukwu; F.O. Okafor,2020,Nigerian Journal of Technology,Nigeria,10.4314/njt.v39i2.6,https://www.ajol.info/index.php/njt/article/view/197602,Concrete; Cement; Oyster Shell Powder; Splitting Tensile Strength; Partial Replacement,39.0,2,AJOL
198297,Engineered soil and the need for lime-natural pozzolan mixture percentage approximation,Kassahun Admassu,2020,SINET: Ethiopian Journal of Science,Ethiopia,,https://www.ajol.info/index.php/sinet/article/view/198297,Admixture; Engineered soil; Fixation; Lime; Natural pozzolan,41.0,2,AJOL
199737,Pozzolanic and mechanical properties of Date Palm Seed Ash (Dpsa) concrete,A.S.J. Smith; G. Xu; M.J. Garba; M.Y. Aliyu,2020,Nigerian Journal of Technology,Nigeria,10.4314/njt.v39i3.5,https://www.ajol.info/index.php/njt/article/view/199737,Cement; Compressive strength; Concrete; Date palm seed ash; Partial replacement; Pozzolana,39.0,3,AJOL
204652,Mechanical Performance of Recycled Aggregate Concrete Containing Lathe Waste Steel Fibre,S.A. Alabi; C. Arum,2021,Nigerian Journal of Technological Development,Nigeria,10.4314/njtd.v17i4.9,https://www.ajol.info/index.php/njtd/article/view/204652,Recycled concrete; lathe waste; steel fibre; compressive strength; tensile strength,17.0,4,AJOL
206613,Improving the bending strength of porcelain by replacement of quartz by Rice Husk Ash (RHA),H.U. Jamo; M.Z. Noh; R. Aliyu,2021,Journal of the Nigerian Association of Mathematical Physics,Nigeria,,https://www.ajol.info/index.php/jonamp/article/view/206613,Bending strength; Bulk density; Porcelain; Quartz; RHA,39.0,,AJOL
206619,"Geo-electrical investigation of soil as foundation material in Ajayi Crowther University, Oyo, Oyo State, South Western Nigeria",Joshua Emmanuel O.; Onabiyi Omotunde Bukola,2021,Journal of the Nigerian Association of Mathematical Physics,Nigeria,,https://www.ajol.info/index.php/jonamp/article/view/206619,Geo-electric; lateritic; resistivity; foundation; VES; Subsurface layer,39.0,,AJOL
207070,Withdrawn: Safranal induces autophagy by AMPK activation and protects neurons against amyloid beta in Alzheimer’s disease,Xiaocheng Huang; Manlian Zhu; Ying Hua; Xiumei Yan; Ruilai Jiang,2021,Tropical Journal of Pharmaceutical Research,Nigeria,10.4314/tjpr.v18i3.2,https://www.ajol.info/index.php/tjpr/article/view/207070,Amyloid beta; primary neuronal cells; Autophagy; AMPK; LC3-II; Neuroprotection,18.0,3,AJOL
